"country","cumulative_deforestation","cumulative_deforestation_global","area_harvested"
"Brazil",31.52003222048,82.44639065324,57.698629
"Indonesia",19.82424649904,82.44639065324,22.746638
"Malaysia",6.14859730324,82.44639065324,5.933927
"Argentina",5.05430233632,82.44639065324,27.989262
"Paraguay",4.77117092308,82.44639065324,4.49
"Bolivia",2.71363092036,82.44639065324,1.764537
"Cambodia",1.94761509616,82.44639065324,2.795063
"Vietnam",1.47370414696,82.44639065324,7.831119
"Myanmar",1.11672862132,82.44639065324,9.805314
"Laos",1.01811401552,82.44639065324,1.219177
"USA",0.8048073516,82.44639065324,84.86025
"Colombia",0.69993001728,82.44639065324,1.712688
"Thailand",0.6244033808,82.44639065324,12.733336
"Australia",0.61290613292,82.44639065324,16.461714
"Mexico",0.48101493976,82.44639065324,8.758398
"Peru",0.4715741102,82.44639065324,1.292522
"Philippines",0.35510605444,82.44639065324,10.735904
"DRC",0.3393090228,82.44639065324,3.320483
"Venezuela",0.229010222,82.44639065324,0.784659
"Madagascar",0.20218331028,82.44639065324,1.209095
